GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SE2014WS-16-BlackJack,de.htwg.controller.impl,StateBlackJack,0,37,0,2,0,8,0,3,0,2
SE2014WS-16-BlackJack,de.htwg.controller.impl,BlackJackController,139,66,12,2,25,22,14,14,8,13
SE2014WS-16-BlackJack,de.htwg.controller.impl,StateLost,0,39,0,2,0,8,0,3,0,2
SE2014WS-16-BlackJack,de.htwg.controller.impl,StateWon,9,35,1,1,1,7,1,2,0,2
SE2014WS-16-BlackJack,de.htwg.controller.impl,StateInGame,17,38,4,4,2,8,4,2,0,2
SE2014WS-16-BlackJack,de.htwg.model.impl,Suit,5,53,0,0,0,5,1,3,1,3
SE2014WS-16-BlackJack,de.htwg.model.impl,Card,0,135,0,2,0,16,0,6,0,5
SE2014WS-16-BlackJack,de.htwg.model.impl,Player,8,151,2,18,2,33,2,14,0,6
SE2014WS-16-BlackJack,de.htwg.model.impl,Deck,0,158,0,10,0,33,0,12,0,7
SE2014WS-16-BlackJack,de.htwg.aview,Tui,203,25,12,0,51,9,10,4,3,4
SE2014WS-16-BlackJack,de.htwg.util.observer,Observable,0,29,0,2,0,8,0,4,0,3
SE2014WS-16-BlackJack,de.htwg.blackjack,BlackJack,9,32,0,2,4,11,1,5,1,4
